symbol,endDate,three
603095.SS,20250630,0.6348359
301011.SZ,20250630,0.6344976
300113.SZ,20250630,0.63388777
600031.SS,20250630,0.6337561
600633.SS,20250630,0.63367915
002404.SZ,20250630,0.63363063
600480.SS,20250630,0.6333683
600096.SS,20250630,0.63318974
603380.SS,20250630,0.6326208
002823.SZ,20250630,0.6325649
002328.SZ,20250630,0.63215
002367.SZ,20250630,0.6318664
002946.SZ,20250630,0.63160825
600612.SS,20250630,0.6314296
300633.SZ,20250630,0.63142437
000700.SZ,20250630,0.63122135
600389.SS,20250630,0.6308455
300634.SZ,20250630,0.6305597
603658.SS,20250630,0.6299605
000798.SZ,20250630,0.6292773
001256.SZ,20250630,0.6286447
301156.SZ,20250630,0.6285265
688301.SS,20250630,0.62801415
688099.SS,20250630,0.62800056
002083.SZ,20250630,0.6279449
002003.SZ,20250630,0.62739754
000987.SZ,20250630,0.6269868
600685.SS,20250630,0.6268501
600761.SS,20250630,0.6267741
600278.SS,20250630,0.6266435
002810.SZ,20250630,0.6265946
002402.SZ,20250630,0.626012
300984.SZ,20250630,0.62595206
600863.SS,20250630,0.6258276
300223.SZ,20250630,0.62549657
603319.SS,20250630,0.62544805
600549.SS,20250630,0.6251619
603267.SS,20250630,0.62507474
300109.SZ,20250630,0.62491363
605123.SS,20250630,0.6245758
000506.SZ,20250630,0.62455285
601633.SS,20250630,0.6244224
600183.SS,20250630,0.6241208
601096.SS,20250630,0.62369406
603338.SS,20250630,0.6235533
600883.SS,20250630,0.623525
603326.SS,20250630,0.6233515
300577.SZ,20250630,0.6233501
000953.SZ,20250630,0.6232306
600562.SS,20250630,0.6231907
002917.SZ,20250630,0.62310857
603127.SS,20250630,0.62262356
002394.SZ,20250630,0.62239033
301538.SZ,20250630,0.6221494
002749.SZ,20250630,0.6221156
002662.SZ,20250630,0.6220365
002545.SZ,20250630,0.62159956
600137.SS,20250630,0.6208632
603989.SS,20250630,0.6207539
605086.SS,20250630,0.6207087
300015.SZ,20250630,0.6205209
301128.SZ,20250630,0.6203247
300751.SZ,20250630,0.62017167
600351.SS,20250630,0.6199408
002278.SZ,20250630,0.6190422
601601.SS,20250630,0.61820114
003008.SZ,20250630,0.6179621
000739.SZ,20250630,0.6177115
605118.SS,20250630,0.6173209
300119.SZ,20250630,0.61721987
301392.SZ,20250630,0.6171679
688681.SS,20250630,0.616529
002098.SZ,20250630,0.61623377
300602.SZ,20250630,0.6159054
600815.SS,20250630,0.61570656
002266.SZ,20250630,0.61536217
603823.SS,20250630,0.61524
603160.SS,20250630,0.6151094
002270.SZ,20250630,0.6150493
688259.SS,20250630,0.614966
688008.SS,20250630,0.61482614
601339.SS,20250630,0.6145104
601858.SS,20250630,0.61424917
002916.SZ,20250630,0.61398035
300611.SZ,20250630,0.61381984
688300.SS,20250630,0.6135872
002282.SZ,20250630,0.6134059
001239.SZ,20250630,0.61317855
000981.SZ,20250630,0.612844
002396.SZ,20250630,0.61258817
688625.SS,20250630,0.6120246
600282.SS,20250630,0.61200416
301138.SZ,20250630,0.6118831
300222.SZ,20250630,0.6113999
000795.SZ,20250630,0.610826
600690.SS,20250630,0.61061996
300279.SZ,20250630,0.6100369
300940.SZ,20250630,0.60997236
001216.SZ,20250630,0.6094395
002550.SZ,20250630,0.60937804
601311.SS,20250630,0.6085003
688050.SS,20250630,0.60837585
002890.SZ,20250630,0.60787195
603589.SS,20250630,0.6076016
002299.SZ,20250630,0.60734665
002945.SZ,20250630,0.6073284
601326.SS,20250630,0.60729307
688025.SS,20250630,0.60539424
300276.SZ,20250630,0.6049842
600367.SS,20250630,0.6045619
002953.SZ,20250630,0.6045337
300636.SZ,20250630,0.6030667
002568.SZ,20250630,0.602578
300092.SZ,20250630,0.60245806
600019.SS,20250630,0.6016727
002519.SZ,20250630,0.6011034
601225.SS,20250630,0.60094947
688588.SS,20250630,0.60060817
600819.SS,20250630,0.6002219
002276.SZ,20250630,0.5993674
300012.SZ,20250630,0.59889495
600834.SS,20250630,0.59785247
300468.SZ,20250630,0.5974708
000988.SZ,20250630,0.5974628
603726.SS,20250630,0.5971496
600710.SS,20250630,0.5967646
603656.SS,20250630,0.59639484
001696.SZ,20250630,0.5957453
301616.SZ,20250630,0.5955786
603970.SS,20250630,0.5944793
002052.SZ,20250630,0.5944325
300124.SZ,20250630,0.59438026
002996.SZ,20250630,0.59396046
600885.SS,20250630,0.5938223
002653.SZ,20250630,0.59378976
603909.SS,20250630,0.5934943
600398.SS,20250630,0.5930512
600764.SS,20250630,0.59253794
601958.SS,20250630,0.5924415
601001.SS,20250630,0.5912792
001260.SZ,20250630,0.5910069
002705.SZ,20250630,0.5905202
600980.SS,20250630,0.59047365
002363.SZ,20250630,0.5897616
688639.SS,20250630,0.5897271
001376.SZ,20250630,0.58948475
300004.SZ,20250630,0.5891007
300698.SZ,20250630,0.58909774
600113.SS,20250630,0.5888067
603396.SS,20250630,0.58796215
688002.SS,20250630,0.58753556
600875.SS,20250630,0.5874269
600580.SS,20250630,0.58727324
688366.SS,20250630,0.58685553
600610.SS,20250630,0.58685493
000513.SZ,20250630,0.58679104
603379.SS,20250630,0.5864841
002038.SZ,20250630,0.58596665
002316.SZ,20250630,0.58569187
688131.SS,20250630,0.5855187
600033.SS,20250630,0.5854669
603390.SS,20250630,0.5853821
605003.SS,20250630,0.5847405
002064.SZ,20250630,0.5839402
601966.SS,20250630,0.5837614
002049.SZ,20250630,0.58369595
688269.SS,20250630,0.58359885
300763.SZ,20250630,0.583126
688698.SS,20250630,0.5829962
600489.SS,20250630,0.58295447
605169.SS,20250630,0.5825844
300562.SZ,20250630,0.5823787
002818.SZ,20250630,0.5822955
600961.SS,20250630,0.58191955
605167.SS,20250630,0.58111954
688056.SS,20250630,0.58109957
300200.SZ,20250630,0.58080876
601068.SS,20250630,0.5806904
300357.SZ,20250630,0.58044916
300138.SZ,20250630,0.5803838
002467.SZ,20250630,0.5802251
688123.SS,20250630,0.5800715
003015.SZ,20250630,0.57991546
600511.SS,20250630,0.5794323
301163.SZ,20250630,0.5790678
002125.SZ,20250630,0.5789888
300346.SZ,20250630,0.5779151
300539.SZ,20250630,0.57773113
002507.SZ,20250630,0.57746905
600486.SS,20250630,0.57735914
002130.SZ,20250630,0.5769442
002558.SZ,20250630,0.5767243
002050.SZ,20250630,0.5765927
600125.SS,20250630,0.57642835
000811.SZ,20250630,0.5763691
000738.SZ,20250630,0.57588434
603638.SS,20250630,0.5758737
002588.SZ,20250630,0.5754472
688656.SS,20250630,0.57502866
688786.SS,20250630,0.5748763
600988.SS,20250630,0.57473695
603194.SS,20250630,0.57470644
300847.SZ,20250630,0.5745739
300107.SZ,20250630,0.57302505
600600.SS,20250630,0.5729998
603025.SS,20250630,0.57289374
000928.SZ,20250630,0.5725188
002250.SZ,20250630,0.5725165
603227.SS,20250630,0.5723137
300548.SZ,20250630,0.5721255
002179.SZ,20250630,0.5719096
603203.SS,20250630,0.5710207
300059.SZ,20250630,0.5697929
603167.SS,20250630,0.5696846
001207.SZ,20250630,0.5694732
600272.SS,20250630,0.5694232
688111.SS,20250630,0.5692937
002093.SZ,20250630,0.5688137
603090.SS,20250630,0.5686631
603871.SS,20250630,0.56844884
300458.SZ,20250630,0.568285
600941.SS,20250630,0.567452
002375.SZ,20250630,0.5674372
002206.SZ,20250630,0.5672449
000630.SZ,20250630,0.56697917
002841.SZ,20250630,0.56502116
600006.SS,20250630,0.5644063
603888.SS,20250630,0.56404066
002517.SZ,20250630,0.5637758
601000.SS,20250630,0.56357235
603199.SS,20250630,0.56345844
000017.SZ,20250630,0.56331855
002700.SZ,20250630,0.56324756
002689.SZ,20250630,0.5632191
002222.SZ,20250630,0.5630289
300789.SZ,20250630,0.56302786
002647.SZ,20250630,0.56295896
002615.SZ,20250630,0.5627966
601888.SS,20250630,0.562045
603558.SS,20250630,0.5620209
002627.SZ,20250630,0.5615296
002782.SZ,20250630,0.5614215
600371.SS,20250630,0.5610315
300395.SZ,20250630,0.56091267
002479.SZ,20250630,0.5605219
603256.SS,20250630,0.5604332
600311.SS,20220930,0.5600995
000757.SZ,20250630,0.5593461
301186.SZ,20250630,0.55902445
600062.SS,20250630,0.55900806
600760.SS,20250630,0.5586452
600099.SS,20250630,0.5586382
002080.SZ,20250630,0.55857736
605377.SS,20250630,0.558566
600583.SS,20250630,0.5582715
002011.SZ,20250630,0.55821794
300566.SZ,20250630,0.5579851
688800.SS,20250630,0.5577115
605098.SS,20250630,0.55751157
300529.SZ,20250630,0.5569999
000901.SZ,20250630,0.5563089
002241.SZ,20250630,0.5559923
600714.SS,20250630,0.55574644
605011.SS,20250630,0.5556022
300952.SZ,20250630,0.55516875
301536.SZ,20250630,0.5550889
605180.SS,20250630,0.5548951
002773.SZ,20250630,0.5547124
300515.SZ,20250630,0.554551
002273.SZ,20250630,0.5543208
301199.SZ,20250630,0.5542625
300913.SZ,20250630,0.5539464
601399.SS,20250630,0.55390865
600023.SS,20250630,0.5538917
603556.SS,20250630,0.5538197
300705.SZ,20250630,0.5537765
601333.SS,20250630,0.55303824
688049.SS,20250630,0.55296516
002851.SZ,20250630,0.55260533
605089.SS,20250630,0.5525944
000726.SZ,20250630,0.5525844
300584.SZ,20250630,0.5516517
002677.SZ,20250630,0.5516156
600499.SS,20250630,0.55149865
002100.SZ,20250630,0.551452
000530.SZ,20250630,0.55112535
300298.SZ,20250630,0.55085725
603136.SS,20250630,0.55027527
002802.SZ,20250630,0.55011547
600150.SS,20250630,0.5501103
601518.SS,20250630,0.54983044
002947.SZ,20250630,0.54955137
600698.SS,20250630,0.54933465
002296.SZ,20250630,0.5492299
605056.SS,20250630,0.5490776
300545.SZ,20250630,0.54905516
600234.SS,20250630,0.54879737
603811.SS,20250630,0.54869956
600780.SS,20250630,0.54860663
600063.SS,20250630,0.54860365
300674.SZ,20250630,0.54855615
001213.SZ,20250630,0.5484315
300547.SZ,20250630,0.54827356
603611.SS,20250630,0.54826754
688076.SS,20250630,0.5482119
300880.SZ,20250630,0.54806054
300726.SZ,20250630,0.54792297
002236.SZ,20250630,0.54790795
000408.SZ,20250630,0.54786897
300819.SZ,20250630,0.5475672
300994.SZ,20250630,0.54697084
000625.SZ,20250630,0.5469029
000636.SZ,20250630,0.5464529
300446.SZ,20250630,0.5463817
605300.SS,20250630,0.54614276
300888.SZ,20250630,0.54592526
000038.SZ,20220930,0.5458384
600522.SS,20250630,0.5457474
002019.SZ,20250630,0.5456446
600933.SS,20250630,0.54559433
603667.SS,20250630,0.54523706
300580.SZ,20250630,0.5451133
600507.SS,20250630,0.5448444
600353.SS,20250630,0.5448334
300519.SZ,20250630,0.54478323
600406.SS,20250630,0.5446703
000533.SZ,20250630,0.5445761
002223.SZ,20250630,0.5444828
600547.SS,20250630,0.54402167
300181.SZ,20250630,0.54400116
603067.SS,20250630,0.543881
601006.SS,20250630,0.5421926
603501.SS,20250630,0.541977
600496.SS,20250630,0.541866
002885.SZ,20250630,0.5417527
003031.SZ,20250630,0.5414516
000902.SZ,20250630,0.54139996
002085.SZ,20250630,0.5411906
603610.SS,20250630,0.540649
603999.SS,20250630,0.5398885
001336.SZ,20250630,0.5391098
603198.SS,20250630,0.5389443
300505.SZ,20250630,0.5385821
300100.SZ,20250630,0.5383332
600226.SS,20250630,0.5378436
000715.SZ,20250630,0.53774863
002440.SZ,20250630,0.5376978
600722.SS,20250630,0.5376435
002783.SZ,20250630,0.536561
603279.SS,20250630,0.5359662
002226.SZ,20250630,0.53529215
300836.SZ,20250630,0.53461957
603867.SS,20250630,0.53395635
603100.SS,20250630,0.5339133
688662.SS,20250630,0.53372234
001316.SZ,20250630,0.5334699
603055.SS,20250630,0.53284234
600572.SS,20250630,0.5327967
601689.SS,20250630,0.5322607
600825.SS,20250630,0.5322349
601899.SS,20250630,0.5320067
603013.SS,20250630,0.53190243
002351.SZ,20250630,0.53185874
600916.SS,20250630,0.5318436
002827.SZ,20250630,0.53174365
603700.SS,20250630,0.5315628
600577.SS,20250630,0.5309472
600618.SS,20250630,0.53083616
688101.SS,20250630,0.53043556
600382.SS,20250630,0.5304215
300907.SZ,20250630,0.5298077
300439.SZ,20250630,0.5296178
603040.SS,20250630,0.5295979
688257.SS,20250630,0.529446
600055.SS,20250630,0.5294141
002896.SZ,20250630,0.5292733
002286.SZ,20250630,0.5292165
600601.SS,20250630,0.528851
002119.SZ,20250630,0.5287632
000550.SZ,20250630,0.5280998
603856.SS,20250630,0.52802336
002891.SZ,20250630,0.5273008
688425.SS,20250630,0.52678496
688799.SS,20250630,0.52671874
000333.SZ,20250630,0.52669203
301603.SZ,20250630,0.52644485
605018.SS,20250630,0.52625394
300037.SZ,20250630,0.52511495
002950.SZ,20250630,0.5248924
300962.SZ,20250630,0.5247697
688138.SS,20250630,0.52415574
002847.SZ,20250630,0.5238425
600585.SS,20250630,0.5235483
600223.SS,20250630,0.5229998
601919.SS,20250630,0.5229516
603273.SS,20250630,0.5228919
600176.SS,20250630,0.5223119
301196.SZ,20250630,0.5222527
002826.SZ,20250630,0.5218132
000417.SZ,20250630,0.52113837
605005.SS,20250630,0.5211019
688100.SS,20250630,0.52095145
002138.SZ,20250630,0.52079105
601020.SS,20250630,0.52060485
605368.SS,20250630,0.52052706
600711.SS,20250630,0.52037984
300496.SZ,20250630,0.520373
002968.SZ,20250630,0.52001303
600366.SS,20250630,0.51987994
002307.SZ,20250630,0.519843
603288.SS,20250630,0.51975685
603583.SS,20250630,0.5195055
601698.SS,20250630,0.5191559
600186.SS,20250630,0.5187408
002960.SZ,20250630,0.51865876
600335.SS,20250630,0.5184963
002489.SZ,20250630,0.51846766
000690.SZ,20250630,0.5183032
002201.SZ,20250630,0.5181195
601717.SS,20250630,0.5180205
002729.SZ,20250630,0.5178297
000600.SZ,20250630,0.5177998
002415.SZ,20250630,0.5177053
688127.SS,20250630,0.51732045
300817.SZ,20250630,0.5172741
603939.SS,20250630,0.5168838
600637.SS,20250630,0.51606286
002121.SZ,20250630,0.51558405
688059.SS,20250630,0.5150558
601117.SS,20250630,0.5149575
688109.SS,20250630,0.5148254
600054.SS,20250630,0.51432115
600291.SS,20220331,0.5141573
002192.SZ,20250630,0.5138544
002692.SZ,20250630,0.5138161
603283.SS,20250630,0.5138124
001319.SZ,20250630,0.5136584
688798.SS,20250630,0.5136105
002463.SZ,20250630,0.5135691
301665.SZ,20250630,0.5133643
000400.SZ,20250630,0.5131978
300516.SZ,20250630,0.5131874
002311.SZ,20250630,0.51279724
601975.SS,20250630,0.51240456
301132.SZ,20250630,0.5119043
603606.SS,20250630,0.511837
603995.SS,20250630,0.5116756
603202.SS,20250630,0.51164854
002803.SZ,20250630,0.5114588
300319.SZ,20250630,0.5108
600236.SS,20250630,0.50992846
002768.SZ,20250630,0.5098608
688690.SS,20250630,0.5093755
603987.SS,20250630,0.5093685
001914.SZ,20250630,0.5091543
300973.SZ,20250630,0.50897783
603677.SS,20250630,0.5080365
300457.SZ,20250630,0.5070168
603993.SS,20250630,0.50692636
300718.SZ,20250630,0.5066335
002434.SZ,20250630,0.5065205
600328.SS,20250630,0.50617075
600989.SS,20250630,0.5061393
300576.SZ,20250630,0.5061158
000821.SZ,20250630,0.5058013
002096.SZ,20250630,0.50561756
603218.SS,20250630,0.5056165
300932.SZ,20250630,0.5055003
300953.SZ,20250630,0.5053789
600060.SS,20250630,0.50524235
301658.SZ,20250630,0.50519514
603408.SS,20250630,0.5051555
300099.SZ,20250630,0.5048804
002837.SZ,20250630,0.50458527
603786.SS,20250630,0.5045563
600160.SS,20250630,0.5044611
002698.SZ,20250630,0.5042764
002697.SZ,20250630,0.50424904
002683.SZ,20250630,0.50411195
603499.SS,20250630,0.50401914
002608.SZ,20250630,0.5031631
002821.SZ,20250630,0.50316167
603266.SS,20250630,0.50250655
002041.SZ,20250630,0.50228655
002264.SZ,20250630,0.5020872
603004.SS,20250630,0.50197643
300009.SZ,20250630,0.5018995
603931.SS,20250630,0.5018767
002484.SZ,20250630,0.50165945
300990.SZ,20250630,0.5010536
300620.SZ,20250630,0.5008843
002232.SZ,20250630,0.5006539
603889.SS,20250630,0.5006288
600392.SS,20250630,0.50040334
300618.SZ,20250630,0.5002919
002200.SZ,20250630,0.50022656
603112.SS,20250630,0.49993938
001296.SZ,20250630,0.49970073
688314.SS,20250630,0.49968022
002831.SZ,20250630,0.4996094
600662.SS,20250630,0.49945885
000708.SZ,20250630,0.49886268
003019.SZ,20250630,0.4988529
688082.SS,20250630,0.49885046
002879.SZ,20250630,0.4987231
603605.SS,20250630,0.49855876
688015.SS,20250630,0.4980843
600103.SS,20250630,0.49800557
601216.SS,20250630,0.49718302
300898.SZ,20250630,0.49715173
600620.SS,20250630,0.49629718
601696.SS,20250630,0.4962163
002920.SZ,20250630,0.49614286
600650.SS,20250630,0.49605846
603161.SS,20250630,0.4960209
688122.SS,20250630,0.4957158
002235.SZ,20250630,0.49569952
300098.SZ,20250630,0.49563634
603082.SS,20250630,0.49525332
001225.SZ,20250630,0.4952504
300272.SZ,20250630,0.49519104
600380.SS,20250630,0.49517804
300145.SZ,20250630,0.4951771
603373.SS,20250630,0.4948606
603197.SS,20250630,0.49484766
688129.SS,20250630,0.4944542
688230.SS,20250630,0.4940129
601555.SS,20250630,0.4938149
600273.SS,20250630,0.49366856
600061.SS,20250630,0.4924215
600028.SS,20250630,0.49141645
000655.SZ,20250630,0.49128717
603737.SS,20250630,0.49126625
301571.SZ,20250630,0.4910915
001215.SZ,20250630,0.4907679
300596.SZ,20250630,0.49059135
688683.SS,20250630,0.4903165
601163.SS,20250630,0.48997808
000425.SZ,20250630,0.4899456
002539.SZ,20250630,0.4897933
603277.SS,20250630,0.48932207
002209.SZ,20250630,0.48901385
002970.SZ,20250630,0.48854762
300923.SZ,20250630,0.48828912
002255.SZ,20250630,0.48812914
002001.SZ,20250630,0.48809206
601727.SS,20250630,0.4880615
002668.SZ,20250630,0.48787504
603661.SS,20250630,0.48784208
603031.SS,20250630,0.48643082
603063.SS,20250630,0.48588604
688533.SS,20250630,0.4854592
300740.SZ,20250630,0.4854465
002063.SZ,20250630,0.48531407
603725.SS,20250630,0.4831313
603659.SS,20250630,0.48274451
002840.SZ,20250630,0.4825282
300096.SZ,20250630,0.48249424
002530.SZ,20250630,0.48249143
002294.SZ,20250630,0.48247355
605016.SS,20250630,0.48228276
000921.SZ,20250630,0.48202956
002534.SZ,20250630,0.48180002
601857.SS,20250630,0.48138797
002765.SZ,20250630,0.48133993
605507.SS,20250630,0.4810158
688313.SS,20250630,0.4808634
002416.SZ,20250630,0.48046416
603075.SS,20250630,0.4804052
600550.SS,20250630,0.48010868
000705.SZ,20250630,0.47994715
603299.SS,20250630,0.4799357
605116.SS,20250630,0.47915947
688028.SS,20250630,0.4790269
603866.SS,20250630,0.47887146
603568.SS,20250630,0.4779185
002412.SZ,20250630,0.47769815
600262.SS,20250630,0.47666675
002248.SZ,20250630,0.47626495
600301.SS,20250630,0.47613108
002576.SZ,20250630,0.4760096
300801.SZ,20250630,0.47557312
603758.SS,20250630,0.4754786
000927.SZ,20250630,0.47483283
002703.SZ,20250630,0.47295088
600261.SS,20250630,0.47292995
300148.SZ,20250630,0.47280294
601236.SS,20250630,0.47275698
600085.SS,20250630,0.47271788
300638.SZ,20250630,0.47270924
688606.SS,20250630,0.4726882
603612.SS,20250630,0.4725545
300685.SZ,20250630,0.47190213
002611.SZ,20250630,0.47159058
002590.SZ,20250630,0.47139013
603289.SS,20250630,0.4707386
601567.SS,20250630,0.47064084
300896.SZ,20250630,0.47020632
603367.SS,20250630,0.46867812
300408.SZ,20250630,0.4685505
603019.SS,20250630,0.46849197
688116.SS,20250630,0.46778697
000633.SZ,20250630,0.4677068
600968.SS,20250630,0.4674489
605099.SS,20250630,0.46741688
601083.SS,20250630,0.46726358
688580.SS,20250630,0.4668755
600917.SS,20250630,0.4666946
002833.SZ,20250630,0.4666741
002516.SZ,20250630,0.46593088
600576.SS,20250630,0.4655072
603883.SS,20250630,0.46508402
600867.SS,20250630,0.46507567
300313.SZ,20250630,0.46491843
600189.SS,20250630,0.46474046
002515.SZ,20250630,0.46465862
000970.SZ,20250630,0.46453327
000429.SZ,20250630,0.46426642
000548.SZ,20250630,0.4642269
600114.SS,20250630,0.4638723
